City,State,Speed,Company,Cord,Code,Longitude,Latitude
Abadia de Goiás,GO,90.44,CLARO,"[-49.4325, -16.7535]",5200050,-49.4325,-16.7535
Abadia dos Dourados,MG,60.92,VIVO,"[-47.4075, -18.4725]",3100104,-47.4075,-18.4725
Abadiânia,GO,101.12,CLARO,"[-48.8565, -16.0605]",5200100,-48.8565,-16.0605
Abaetetuba,PA,47.05,CLARO,"[-48.8025, -1.6245]",1500107,-48.8025,-1.6245
Abaeté,MG,70.79,CLARO,"[-45.4545, -19.1565]",3100203,-45.4545,-19.1565
Abaiara,CE,37.57,VIVO,"[-39.0465, -7.3575]",2300101,-39.0465,-7.3575
Abaré,BA,41.72,VIVO,"[-39.1095, -8.7255]",2900207,-39.1095,-8.7255
Abatiá,PR,49.85,CLARO,"[-50.3055, -23.3055]",4100103,-50.3055,-23.3055
Abaíra,BA,16.02,CLARO,"[-41.6655, -13.2525]",2900108,-41.6655,-13.2525
Abel Figueiredo,PA,20.55,VIVO,"[-48.3975, -4.9455]",1500131,-48.3975,-4.9455
Abelardo Luz,SC,59.51,CLARO,"[-52.3305, -26.5635]",4200101,-52.3305,-26.5635
Abre Campo,MG,47.11,VIVO,"[-42.4665, -20.3085]",3100302,-42.4665,-20.3085
Abreu e Lima,PE,47.96,CLARO,"[-34.9245, -7.9155]",2600054,-34.9245,-7.9155
Abreulândia,TO,40.11,CLARO,"[-49.1535, -9.6255]",1700251,-49.1535,-9.6255
Acaiaca,MG,68.96,CLARO,"[-43.1415, -20.3625]",3100401,-43.1415,-20.3625
Acajutiba,BA,30.47,VIVO,"[-38.0115, -11.6595]",2900306,-38.0115,-11.6595
Acarape,CE,51.57,VIVO,"[-38.7045, -4.2165]",2300150,-38.7045,-4.2165
Acaraú,CE,26.79,CLARO,"[-40.1175, -2.8935]",2300200,-40.1175,-2.8935
Acari,RN,23.79,CLARO,"[-36.6345, -6.4305]",2400109,-36.6345,-6.4305
Acará,PA,56.0,VIVO,"[-48.1905, -1.9575]",1500206,-48.1905,-1.9575
Acauã,PI,22.17,CLARO,"[-41.0805, -8.2125]",2200053,-41.0805,-8.2125
Aceguá,RS,47.07,VIVO,"[-54.1665, -31.8645]",4300034,-54.1665,-31.8645
Acopiara,CE,57.34,VIVO,"[-39.7395, -6.0975]",2300309,-39.7395,-6.0975
Acorizal,MT,69.78,VIVO,"[-56.3715, -15.1965]",5100102,-56.3715,-15.1965
Acrelândia,AC,71.67,VIVO,"[-67.0545, -10.0755]",1200013,-67.0545,-10.0755
Acreúna,GO,48.93,VIVO,"[-50.3775, -17.3835]",5200134,-50.3775,-17.3835
Adamantina,SP,84.64,CLARO,"[-51.0885, -21.6675]",3500105,-51.0885,-21.6675
Adelândia,GO,99.44,CLARO,"[-50.1615, -16.4115]",5200159,-50.1615,-16.4115
Adolfo,SP,66.38,VIVO,"[-49.6485, -21.2355]",3500204,-49.6485,-21.2355
Adrianópolis,PR,26.83,VIVO,"[-48.5505, -24.7995]",4100202,-48.5505,-24.7995
Adustina,BA,32.62,VIVO,"[-38.1105, -10.5435]",2900355,-38.1105,-10.5435
Afogados da Ingazeira,PE,46.85,CLARO,"[-37.6335, -7.7445]",2600104,-37.6335,-7.7445
Afonso Bezerra,RN,35.04,VIVO,"[-36.5085, -5.5035]",2400307,-36.5085,-5.5035
Afonso Cláudio,ES,36.13,VIVO,"[-41.1165, -20.0925]",3200102,-41.1165,-20.0925
Afonso Cunha,MA,35.02,CLARO,"[-43.3215, -4.1355]",2100105,-43.3215,-4.1355
Afrânio,PE,15.88,VIVO,"[-41.0085, -8.5095]",2600203,-41.0085,-8.5095
Afuá,PA,10.71,VIVO,"[-51.2235, -0.1755]",1500305,-51.2235,-0.1755
Agrestina,PE,8.3,CLARO,"[-35.9415, -8.4555]",2600302,-35.9415,-8.4555
Agricolândia,PI,57.18,CLARO,"[-42.6645, -5.7915]",2200103,-42.6645,-5.7915
Agrolândia,SC,106.82,CLARO,"[-49.8195, -27.4005]",4200200,-49.8195,-27.4005
Agronômica,SC,33.47,VIVO,"[-49.6935, -27.2655]",4200309,-49.6935,-27.2655
Aguanil,MG,55.95,VIVO,"[-45.3915, -20.9475]",3100807,-45.3915,-20.9475
Aguaí,SP,38.63,VIVO,"[-46.9845, -22.0545]",3500303,-46.9845,-22.0545
Agudo,RS,37.37,CLARO,"[-53.2485, -29.7135]",4300109,-53.2485,-29.7135
Agudos,SP,52.26,VIVO,"[-48.9825, -22.4595]",3500709,-48.9825,-22.4595
Agudos do Sul,PR,82.79,TIM,"[-49.3155, -26.0055]",4100301,-49.3155,-26.0055
Aguiar,PB,21.79,TIM,"[-38.1735, -7.0875]",2500205,-38.1735,-7.0875
Aguiarnópolis,TO,22.71,CLARO,"[-47.4705, -6.5565]",1700301,-47.4705,-6.5565
Aimorés,MG,49.57,VIVO,"[-41.0715, -19.4985]",3101102,-41.0715,-19.4985
Aiquara,BA,52.69,VIVO,"[-39.8925, -14.1255]",2900603,-39.8925,-14.1255
Aiuaba,CE,63.23,CLARO,"[-40.1175, -6.5655]",2300408,-40.1175,-6.5655
Aiuruoca,MG,37.78,VIVO,"[-44.5995, -21.9735]",3101201,-44.5995,-21.9735
Ajuricaba,RS,29.630000000000003,VIVO,"[-53.7705, -28.2375]",4300208,-53.7705,-28.2375
Alagoa,MG,7.18,VIVO,"[-44.6445, -22.1715]",3101300,-44.6445,-22.1715
Alagoa Grande,PB,34.0,TIM,"[-35.6265, -7.0425]",2500304,-35.6265,-7.0425
Alagoa Nova,PB,57.98,CLARO,"[-35.7615, -7.0605]",2500403,-35.7615,-7.0605
Alagoinha,PB,23.7,VIVO,"[-35.5455, -6.9525]",2500502,-35.5455,-6.9525
Alagoinha,PE,32.58,CLARO,"[-36.7785, -8.4735]",2600609,-36.7785,-8.4735
Alagoinha do Piauí,PI,39.24,VIVO,"[-40.9365, -7.0065]",2200251,-40.9365,-7.0065
Alagoinhas,BA,72.38,CLARO,"[-38.4525, -12.1725]",2900702,-38.4525,-12.1725
Alambari,SP,77.91,VIVO,"[-47.8935, -23.5575]",3500758,-47.8935,-23.5575
Albertina,MG,34.15,VIVO,"[-46.6065, -22.1985]",3101409,-46.6065,-22.1985
Alcinópolis,MS,45.79,VIVO,"[-53.7165, -18.3285]",5000252,-53.7165,-18.3285
Alcobaça,BA,23.8,VIVO,"[-39.1995, -17.5275]",2900801,-39.1995,-17.5275
Alcântara,MA,72.39,VIVO,"[-44.4105, -2.3985]",2100204,-44.4105,-2.3985
Alcântaras,CE,19.04,CLARO,"[-40.5495, -3.5865]",2300507,-40.5495,-3.5865
Aldeias Altas,MA,14.43,CLARO,"[-43.4745, -4.6305]",2100303,-43.4745,-4.6305
Alecrim,RS,124.32,TIM,"[-54.7695, -27.6525]",4300307,-54.7695,-27.6525
Alegre,ES,63.56,VIVO,"[-41.4585, -20.7585]",3200201,-41.4585,-20.7585
Alegrete,RS,70.09,CLARO,"[-55.8045, -29.8125]",4300406,-55.8045,-29.8125
Alegrete do Piauí,PI,15.79,TIM,"[-40.8555, -7.2405]",2200277,-40.8555,-7.2405
Alegria,RS,55.12,VIVO,"[-54.0225, -27.7965]",4300455,-54.0225,-27.7965
Alenquer,PA,96.25,CLARO,"[-54.7335, -1.9575]",1500404,-54.7335,-1.9575
Alexandria,RN,12.35,CLARO,"[-38.0115, -6.4125]",2400505,-38.0115,-6.4125
Alexânia,GO,88.83,CLARO,"[-48.3975, -16.1145]",5200308,-48.3975,-16.1145
Alfenas,MG,79.8,CLARO,"[-45.9495, -21.4515]",3101607,-45.9495,-21.4515
Alfredo Chaves,ES,17.49,VIVO,"[-40.7475, -20.6325]",3200300,-40.7475,-20.6325
Alfredo Marcondes,SP,40.69,VIVO,"[-51.4125, -21.9555]",3500808,-51.4125,-21.9555
Alfredo Vasconcelos,MG,39.19,CLARO,"[-43.7085, -21.1365]",3101631,-43.7085,-21.1365
Alfredo Wagner,SC,49.47,CLARO,"[-49.3335, -27.7065]",4200705,-49.3335,-27.7065
Algodão de Jandaíra,PB,90.57,CLARO,"[-36.0045, -6.8985]",2500577,-36.0045,-6.8985
Alhandra,PB,65.72,VIVO,"[-34.9065, -7.4295]",2500601,-34.9065,-7.4295
Aliança,PE,44.04,CLARO,"[-35.2305, -7.5915]",2600708,-35.2305,-7.5915
Aliança do Tocantins,TO,67.33,VIVO,"[-48.9465, -11.3085]",1700350,-48.9465,-11.3085
Almadina,BA,9.15,TIM,"[-39.6405, -14.7015]",2900900,-39.6405,-14.7015
Almas,TO,47.97,CLARO,"[-47.1645, -11.5605]",1700400,-47.1645,-11.5605
Almeirim,PA,71.46,CLARO,"[-52.5825, -1.5345]",1500503,-52.5825,-1.5345
Almenara,MG,55.98,CLARO,"[-40.6935, -16.1865]",3101706,-40.6935,-16.1865
Almino Afonso,RN,10.13,TIM,"[-37.7685, -6.1515]",2400604,-37.7685,-6.1515
Almirante Tamandaré,PR,87.99,CLARO,"[-49.3065, -25.2585]",4100400,-49.3065,-25.2585
Almirante Tamandaré do Sul,RS,59.03,VIVO,"[-52.8525, -28.1205]",4300471,-52.8525,-28.1205
Aloândia,GO,92.02,CLARO,"[-49.4865, -17.7255]",5200506,-49.4865,-17.7255
Alpercata,MG,53.01,VIVO,"[-41.9805, -18.9765]",3101805,-41.9805,-18.9765
Alpestre,RS,75.46,VIVO,"[-53.0325, -27.2565]",4300505,-53.0325,-27.2565
Alpinópolis,MG,46.27,CLARO,"[-46.3905, -20.8665]",3101904,-46.3905,-20.8665
Alta Floresta,MT,92.73,VIVO,"[-56.0745, -9.8415]",5100250,-56.0745,-9.8415
Alta Floresta D'Oeste,RO,60.87,VIVO,"[-61.9875, -11.9295]",1100015,-61.9875,-11.9295
Altair,SP,62.14,VIVO,"[-49.0635, -20.5245]",3500907,-49.0635,-20.5245
Altamira,PA,74.05,VIVO,"[-52.2675, -3.2265]",1500602,-52.2675,-3.2265
Altaneira,CE,60.79,CLARO,"[-39.7395, -6.9975]",2300606,-39.7395,-6.9975
Alterosa,MG,40.42,VIVO,"[-46.1475, -21.2625]",3102001,-46.1475,-21.2625
Altinho,PE,81.76,CLARO,"[-36.0495, -8.4915]",2600807,-36.0495,-8.4915
Altinópolis,SP,43.62,TIM,"[-47.3985, -21.0195]",3501004,-47.3985,-21.0195
Alto Alegre,RR,3.26,CLARO,"[-61.3035, 2.9835]",1400050,-61.3035,2.9835
Alto Alegre,RS,21.22,VIVO,"[-52.9875, -28.7775]",4300554,-52.9875,-28.7775
Alto Alegre,SP,83.02,VIVO,"[-50.1705, -21.5865]",3501103,-50.1705,-21.5865
Alto Alegre do Maranhão,MA,59.04,CLARO,"[-44.4465, -4.2165]",2100436,-44.4465,-4.2165
Alto Alegre do Pindaré,MA,57.89,CLARO,"[-45.8415, -3.6675]",2100477,-45.8415,-3.6675
Alto Alegre dos Parecis,RO,16.87,CLARO,"[-61.8615, -12.1185]",1100379,-61.8615,-12.1185
Alto Araguaia,MT,41.73,VIVO,"[-53.2305, -17.3295]",5100300,-53.2305,-17.3295
Alto Caparaó,MG,40.24,CLARO,"[-41.8725, -20.4435]",3102050,-41.8725,-20.4435
Alto Feliz,RS,77.73,VIVO,"[-51.3135, -29.3715]",4300570,-51.3135,-29.3715
Alto Garças,MT,62.24,VIVO,"[-53.5365, -16.9515]",5100409,-53.5365,-16.9515
Alto Horizonte,GO,26.28,TIM,"[-49.3965, -14.2425]",5200555,-49.3965,-14.2425
Alto Jequitibá,MG,71.01,CLARO,"[-41.9625, -20.4255]",3153509,-41.9625,-20.4255
Alto Longá,PI,52.92,VIVO,"[-42.2055, -5.2605]",2200301,-42.2055,-5.2605
Alto Paraguai,MT,21.11,CLARO,"[-56.4885, -14.5125]",5100508,-56.4885,-14.5125
Alto Paraná,PR,61.78,CLARO,"[-52.3215, -23.1255]",4100608,-52.3215,-23.1255
Alto Paraíso,PR,20.61,VIVO,"[-53.7255, -23.5035]",4128625,-53.7255,-23.5035
Alto Paraíso,RO,62.49,VIVO,"[-63.3105, -9.7245]",1100403,-63.3105,-9.7245
Alto Paraíso de Goiás,GO,43.65,VIVO,"[-47.5155, -14.1345]",5200605,-47.5155,-14.1345
Alto Parnaíba,MA,9.17,TIM,"[-46.2645, -8.8065]",2100501,-46.2645,-8.8065
Alto Piquiri,PR,61.66,CLARO,"[-53.4465, -24.0255]",4100707,-53.4465,-24.0255
Alto Rio Doce,MG,76.87,CLARO,"[-43.4115, -21.0195]",3102100,-43.4115,-21.0195
Alto Rio Novo,ES,40.18,VIVO,"[-41.0175, -19.0575]",3200359,-41.0175,-19.0575
Alto Santo,CE,19.44,TIM,"[-38.2635, -5.5215]",2300705,-38.2635,-5.5215
Alto Taquari,MT,45.27,VIVO,"[-53.2845, -17.8425]",5100607,-53.2845,-17.8425
Alto do Rodrigues,RN,15.23,TIM,"[-36.7695, -5.3055]",2400703,-36.7695,-5.3055
Altos,PI,67.62,CLARO,"[-42.4755, -5.0265]",2200400,-42.4755,-5.0265
Altônia,PR,40.55,TIM,"[-53.9055, -23.8725]",4100509,-53.9055,-23.8725
Alumínio,SP,67.95,CLARO,"[-47.2455, -23.5125]",3501152,-47.2455,-23.5125
Alvarenga,MG,27.84,VIVO,"[-41.7285, -19.4175]",3102209,-41.7285,-19.4175
Alvarães,AM,0.67,TIM,"[-64.8135, -3.2175]",1300029,-64.8135,-3.2175
Alvinlândia,SP,95.72,VIVO,"[-49.7655, -22.4505]",3501509,-49.7655,-22.4505
Alvinópolis,MG,57.26,CLARO,"[-43.0515, -20.1105]",3102308,-43.0515,-20.1105
Alvorada,RS,59.625,VIVO,"[-51.0795, -30.0015]",4300604,-51.0795,-30.0015
Alvorada,TO,71.33,VIVO,"[-49.1355, -12.4785]",1700707,-49.1355,-12.4785
Alvorada D'Oeste,RO,92.64,VIVO,"[-62.2845, -11.3445]",1100346,-62.2845,-11.3445
Alvorada de Minas,MG,55.3,VIVO,"[-43.3665, -18.7335]",3102407,-43.3665,-18.7335
Alvorada do Gurguéia,PI,45.86,VIVO,"[-43.8615, -8.4465]",2200459,-43.8615,-8.4465
Alvorada do Norte,GO,47.93,VIVO,"[-46.5165, -14.4855]",5200803,-46.5165,-14.4855
Alvorada do Sul,PR,39.88,CLARO,"[-51.2325, -22.7745]",4100806,-51.2325,-22.7745
Além Paraíba,MG,36.27,CLARO,"[-42.6825, -21.8745]",3101508,-42.6825,-21.8745
Amajari,RR,29.02,CLARO,"[-61.4205, 3.6585]",1400027,-61.4205,3.6585
Amambai,MS,44.62,CLARO,"[-55.2285, -23.0985]",5000609,-55.2285,-23.0985
Amaporã,PR,59.12,CLARO,"[-52.7895, -23.0895]",4100905,-52.7895,-23.0895
Amapá,AP,6.26,CLARO,"[-50.7915, 2.0565]",1600105,-50.7915,2.0565
Amapá do Maranhão,MA,38.93,CLARO,"[-46.0125, -1.6785]",2100550,-46.0125,-1.6785
Amaraji,PE,35.97,CLARO,"[-35.4465, -8.3745]",2600906,-35.4465,-8.3745
Amaral Ferrador,RS,70.11,VIVO,"[-52.2585, -30.8745]",4300638,-52.2585,-30.8745
Amarante,PI,24.12,TIM,"[-42.8445, -6.2505]",2200509,-42.8445,-6.2505
Amarante do Maranhão,MA,35.89,CLARO,"[-46.7415, -5.5935]",2100600,-46.7415,-5.5935
Amargosa,BA,90.87,VIVO,"[-39.5775, -13.0275]",2901007,-39.5775,-13.0275
Americana,SP,233.71,CLARO,"[-47.3535, -22.7475]",3501608,-47.3535,-22.7475
Americano do Brasil,GO,6.3,TIM,"[-49.9815, -16.2585]",5200852,-49.9815,-16.2585
Ametista do Sul,RS,50.42,VIVO,"[-53.1855, -27.3555]",4300646,-53.1855,-27.3555
Amontada,CE,81.59,CLARO,"[-39.8295, -3.3615]",2300754,-39.8295,-3.3615
Amparo,PB,41.17,TIM,"[-37.0575, -7.5645]",2500734,-37.0575,-7.5645
Amparo,SP,50.56,CLARO,"[-46.8405, -22.7205]",3501905,-46.8405,-22.7205
Amparo de São Francisco,SE,33.48,VIVO,"[-36.9315, -10.1295]",2800100,-36.9315,-10.1295
Amparo do Serra,MG,47.28,CLARO,"[-42.7995, -20.5065]",3102506,-42.7995,-20.5065
Ampére,PR,28.49,CLARO,"[-53.4735, -25.9245]",4101002,-53.4735,-25.9245
Amélia Rodrigues,BA,64.26,VIVO,"[-38.7945, -12.3795]",2901106,-38.7945,-12.3795
América Dourada,BA,33.55,CLARO,"[-41.4765, -11.3085]",2901155,-41.4765,-11.3085
Américo Brasiliense,SP,55.13,VIVO,"[-48.1005, -21.7215]",3501707,-48.1005,-21.7215
Américo de Campos,SP,69.66,VIVO,"[-49.7295, -20.2995]",3501806,-49.7295,-20.2995
Anadia,AL,48.74,TIM,"[-36.3105, -9.6885]",2700201,-36.3105,-9.6885
Anagé,BA,42.59,VIVO,"[-41.1345, -14.6115]",2901205,-41.1345,-14.6115
Anahy,PR,27.1,CLARO,"[-53.1315, -24.6555]",4101051,-53.1315,-24.6555
Anajatuba,MA,79.0,CLARO,"[-44.6175, -3.2535]",2100709,-44.6175,-3.2535
Anajás,PA,8.94,TIM,"[-49.9455, -0.9855]",1500701,-49.9455,-0.9855
Analândia,SP,70.01,VIVO,"[-47.6685, -22.1265]",3502002,-47.6685,-22.1265
Anamã,AM,50.25,VIVO,"[-61.4115, -3.5685]",1300086,-61.4115,-3.5685
Ananindeua,PA,287.905,TIM,"[-48.3615, -1.3545]",1500800,-48.3615,-1.3545
Ananás,TO,80.88,CLARO,"[-48.0735, -6.3585]",1701002,-48.0735,-6.3585
Anapu,PA,44.13,VIVO,"[-51.2055, -3.4695]",1500859,-51.2055,-3.4695
Anapurus,MA,45.54,CLARO,"[-43.1145, -3.6765]",2100808,-43.1145,-3.6765
Anastácio,MS,74.33,VIVO,"[-55.8225, -20.4975]",5000708,-55.8225,-20.4975
Anaurilândia,MS,32.34,VIVO,"[-52.7175, -22.1895]",5000807,-52.7175,-22.1895
Anchieta,ES,80.35,VIVO,"[-40.6845, -20.8215]",3200409,-40.6845,-20.8215
Anchieta,SC,12.17,TIM,"[-53.3295, -26.5365]",4200804,-53.3295,-26.5365
Andaraí,BA,28.1,CLARO,"[-41.3325, -12.8205]",2901304,-41.3325,-12.8205
Andirá,PR,37.83,CLARO,"[-50.2245, -23.0535]",4101101,-50.2245,-23.0535
Andorinha,BA,7.39,TIM,"[-39.8295, -10.3455]",2901353,-39.8295,-10.3455
Andradas,MG,69.51,CLARO,"[-46.5885, -22.0815]",3102605,-46.5885,-22.0815
Andradina,SP,48.59,VIVO,"[-51.3855, -20.8845]",3502101,-51.3855,-20.8845
Andrelândia,MG,47.24,CLARO,"[-44.3025, -21.7395]",3102803,-44.3025,-21.7395
André da Rocha,RS,84.18,VIVO,"[-51.5745, -28.6335]",4300661,-51.5745,-28.6335
Angatuba,SP,57.68,VIVO,"[-48.3525, -23.5305]",3502200,-48.3525,-23.5305
Angelim,PE,33.3,CLARO,"[-36.2925, -8.8875]",2601003,-36.2925,-8.8875
Angelândia,MG,70.45,CLARO,"[-42.2685, -17.7255]",3102852,-42.2685,-17.7255
Angical,BA,41.26,VIVO,"[-44.6985, -12.0105]",2901403,-44.6985,-12.0105
Angical do Piauí,PI,58.5,CLARO,"[-42.7365, -6.0795]",2200608,-42.7365,-6.0795
Angico,TO,25.59,CLARO,"[-47.8665, -6.3945]",1701051,-47.8665,-6.3945
Angicos,RN,66.65,CLARO,"[-36.6075, -5.6745]",2400802,-36.6075,-5.6745
Angra dos Reis,RJ,183.115,CLARO,"[-44.2485, -22.9995]",3300100,-44.2485,-22.9995
Anguera,BA,15.82,CLARO,"[-39.2445, -12.1455]",2901502,-39.2445,-12.1455
Angélica,MS,42.56,CLARO,"[-53.7615, -22.1535]",5000856,-53.7615,-22.1535
Anhanguera,GO,67.27,CLARO,"[-48.2175, -18.3375]",5201207,-48.2175,-18.3375
Anhembi,SP,79.19,VIVO,"[-48.1365, -22.7835]",3502309,-48.1365,-22.7835
Anhumas,SP,52.34,VIVO,"[-51.3855, -22.2975]",3502408,-51.3855,-22.2975
Anicuns,GO,69.74,CLARO,"[-49.9545, -16.4385]",5201306,-49.9545,-16.4385
Anita Garibaldi,SC,53.29,VIVO,"[-51.1245, -27.6885]",4201000,-51.1245,-27.6885
Anitápolis,SC,53.06,CLARO,"[-49.1265, -27.9045]",4201109,-49.1265,-27.9045
Anori,AM,15.07,VIVO,"[-61.6635, -3.7305]",1300102,-61.6635,-3.7305
Anta Gorda,RS,25.42,VIVO,"[-52.0065, -28.9665]",4300703,-52.0065,-28.9665
Antas,BA,46.26,VIVO,"[-38.3355, -10.4085]",2901601,-38.3355,-10.4085
Antonina,PR,39.08,CLARO,"[-48.7395, -25.4385]",4101200,-48.7395,-25.4385
Antonina do Norte,CE,33.32,CLARO,"[-39.9825, -6.7725]",2300804,-39.9825,-6.7725
Antônio Almeida,PI,34.92,CLARO,"[-44.1945, -7.2225]",2200806,-44.1945,-7.2225
Antônio Cardoso,BA,39.97,CLARO,"[-39.1185, -12.4335]",2901700,-39.1185,-12.4335
Antônio Carlos,MG,66.14,CLARO,"[-43.7445, -21.3165]",3102902,-43.7445,-21.3165
Antônio Carlos,SC,35.66,CLARO,"[-48.7485, -27.5085]",4201208,-48.7485,-27.5085
Antônio Dias,MG,106.67,CLARO,"[-42.8805, -19.5615]",3103009,-42.8805,-19.5615
Antônio Gonçalves,BA,29.84,CLARO,"[-40.2705, -10.5705]",2901809,-40.2705,-10.5705
Antônio João,MS,88.04,VIVO,"[-55.9485, -22.1895]",5000906,-55.9485,-22.1895
Antônio Olinto,PR,34.01,CLARO,"[-50.1975, -25.9875]",4101309,-50.1975,-25.9875
Antônio Prado,RS,56.55,VIVO,"[-51.2685, -28.8585]",4300802,-51.2685,-28.8585
Antônio Prado de Minas,MG,94.79,CLARO,"[-42.1065, -21.0195]",3103108,-42.1065,-21.0195
Anápolis,GO,255.765,CLARO,"[-48.9375, -16.3125]",5201108,-48.9375,-16.3125
Anísio de Abreu,PI,21.61,VIVO,"[-43.0515, -9.1845]",2200707,-43.0515,-9.1845
Aparecida,PB,57.05,VIVO,"[-38.0835, -6.7905]",2500775,-38.0835,-6.7905
Aparecida,SP,35.68333333333333,CLARO,"[-45.2295, -22.8555]",3502507,-45.2295,-22.8555
Aparecida d'Oeste,SP,37.42,CLARO,"[-50.8815, -20.4525]",3502606,-50.8815,-20.4525
Aparecida de Goiânia,GO,242.43,CLARO,"[-49.3515, -16.7625]",5201405,-49.3515,-16.7625
Aparecida do Rio Doce,GO,9.31,CLARO,"[-51.1515, -18.2925]",5201454,-51.1515,-18.2925
Aparecida do Rio Negro,TO,59.31,CLARO,"[-47.9835, -9.9495]",1701101,-47.9835,-9.9495
Aparecida do Taboado,MS,59.54,CLARO,"[-51.1065, -20.0925]",5001003,-51.1065,-20.0925
Aperibé,RJ,54.01,CLARO,"[-42.1065, -21.6225]",3300159,-42.1065,-21.6225
Apiacá,ES,52.0,VIVO,"[-41.5665, -21.1635]",3200508,-41.5665,-21.1635
Apiacás,MT,30.57,CLARO,"[-57.3975, -9.5715]",5100805,-57.3975,-9.5715
Apiaí,SP,77.99,VIVO,"[-48.8385, -24.4935]",3502705,-48.8385,-24.4935
Apicum-Açu,MA,44.04,CLARO,"[-45.0855, -1.5345]",2100832,-45.0855,-1.5345
Apiúna,SC,42.07,CLARO,"[-49.3785, -27.0315]",4201257,-49.3785,-27.0315
Apodi,RN,37.79,VIVO,"[-37.7955, -5.6655]",2401008,-37.7955,-5.6655
Aporá,BA,26.66,VIVO,"[-38.0655, -11.6595]",2901908,-38.0655,-11.6595
Aporé,GO,84.69,CLARO,"[-51.9255, -18.9585]",5201504,-51.9255,-18.9585
Apuarema,BA,39.35,VIVO,"[-39.7485, -13.8645]",2901957,-39.7485,-13.8645
Apucarana,PR,74.71,CLARO,"[-51.4845, -23.5755]",4101408,-51.4845,-23.5755
Apuiarés,CE,40.87,VIVO,"[-39.2445, -3.9735]",2300903,-39.2445,-3.9735
Aquidabã,SE,41.43,VIVO,"[-37.0215, -10.2915]",2800209,-37.0215,-10.2915
Aquidauana,MS,66.67666666666666,CLARO,"[-55.7865, -20.4795]",5001102,-55.7865,-20.4795
Aquiraz,CE,102.46,VIVO,"[-38.5065, -4.0545]",2301000,-38.5065,-4.0545
Arabutã,SC,29.83,TIM,"[-52.1415, -27.1575]",4201273,-52.1415,-27.1575
Aracaju,SE,244.01999999999998,CLARO,"[-37.0485, -10.9935]",2800308,-37.0485,-10.9935
Aracati,CE,57.49,VIVO,"[-37.8855, -4.6035]",2301109,-37.8855,-4.6035
Aracatu,BA,11.07,CLARO,"[-41.4585, -14.4225]",2902005,-41.4585,-14.4225
Araci,BA,48.88,CLARO,"[-38.9655, -11.3445]",2902104,-38.9655,-11.3445
Aracitaba,MG,69.06,CLARO,"[-43.3845, -21.3345]",3103306,-43.3845,-21.3345
Aracoiaba,CE,84.58,VIVO,"[-38.6865, -4.4055]",2301208,-38.6865,-4.4055
Aracruz,ES,73.85,VIVO,"[-40.0455, -19.7595]",3200607,-40.0455,-19.7595
Aragarças,GO,40.11,VIVO,"[-52.2495, -15.9075]",5201702,-52.2495,-15.9075
Aragoiânia,GO,101.45,VIVO,"[-49.4505, -16.9065]",5201801,-49.4505,-16.9065
Aragominas,TO,60.01,CLARO,"[-48.5325, -7.1685]",1701309,-48.5325,-7.1685
Araguacema,TO,13.42,CLARO,"[-49.5585, -8.8245]",1701903,-49.5585,-8.8245
Araguainha,MT,107.54,VIVO,"[-53.0325, -16.8525]",5101209,-53.0325,-16.8525
Araguanã,MA,83.43,CLARO,"[-45.6705, -2.9565]",2100873,-45.6705,-2.9565
Araguanã,TO,69.56,CLARO,"[-48.6405, -6.5745]",1702158,-48.6405,-6.5745
Araguapaz,GO,26.26,CLARO,"[-50.6295, -15.0975]",5202155,-50.6295,-15.0975
Araguari,MG,70.94,CLARO,"[-48.1815, -18.6795]",3103504,-48.1815,-18.6795
Araguatins,TO,70.03,TIM,"[-48.1185, -5.6565]",1702208,-48.1185,-5.6565
Araguaçu,TO,17.62,CLARO,"[-49.8285, -12.9285]",1702000,-49.8285,-12.9285
Araguaína,TO,90.86,VIVO,"[-48.1905, -7.1505]",1702109,-48.1905,-7.1505
Araioses,MA,70.29,CLARO,"[-41.9085, -2.8755]",2100907,-41.9085,-2.8755
Aral Moreira,MS,38.6,VIVO,"[-55.6245, -22.9365]",5001243,-55.6245,-22.9365
Aramari,BA,29.24,TIM,"[-38.5245, -12.0735]",2902203,-38.5245,-12.0735
Arambaré,RS,45.87,TIM,"[-51.4935, -30.9105]",4300851,-51.4935,-30.9105
Arame,MA,55.97,CLARO,"[-46.0125, -4.9005]",2100956,-46.0125,-4.9005
Aramina,SP,38.82,VIVO,"[-47.7855, -20.0835]",3503000,-47.7855,-20.0835
Arandu,SP,75.24,VIVO,"[-49.0455, -23.1345]",3503109,-49.0455,-23.1345
Arantina,MG,70.59,CLARO,"[-44.2575, -21.9195]",3103603,-44.2575,-21.9195
Arapeí,SP,69.13,VIVO,"[-44.4465, -22.6755]",3503158,-44.4465,-22.6755
Arapiraca,AL,113.505,VIVO,"[-36.6615, -9.7425]",2700300,-36.6615,-9.7425
Arapoema,TO,55.6,CLARO,"[-49.0635, -7.6545]",1702307,-49.0635,-7.6545
Araponga,MG,58.55,CLARO,"[-42.5205, -20.6685]",3103702,-42.5205,-20.6685
Arapongas,PR,107.815,VIVO,"[-51.4395, -23.4135]",4101507,-51.4395,-23.4135
Araporã,MG,30.38,VIVO,"[-49.1895, -18.4275]",3103751,-49.1895,-18.4275
Arapoti,PR,42.6,TIM,"[-49.8465, -24.1335]",4101606,-49.8465,-24.1335
