City,State,Speed,Company,Cord,Code,Longitude,Latitude
Dona Emma,SC,25.94,TIM,"[-49.7205, -26.9865]",4205100,-49.7205,-26.9865
Dona Eusébia,MG,48.32,VIVO,"[-42.8175, -21.3075]",3122900,-42.8175,-21.3075
Dona Francisca,RS,43.05,CLARO,"[-53.3475, -29.6145]",4306700,-53.3475,-29.6145
Dona Inês,PB,25.7,VIVO,"[-35.6265, -6.6015]",2505709,-35.6265,-6.6015
Dores de Campos,MG,76.85,CLARO,"[-44.0235, -21.1095]",3123007,-44.0235,-21.1095
Dores de Guanhães,MG,35.66,VIVO,"[-42.9255, -19.0575]",3123106,-42.9255,-19.0575
Dores do Indaiá,MG,31.89,CLARO,"[-45.6075, -19.4715]",3123205,-45.6075,-19.4715
Dores do Rio Preto,ES,34.57,VIVO,"[-41.8455, -20.6955]",3202009,-41.8455,-20.6955
Dores do Turvo,MG,68.39,VIVO,"[-43.1865, -20.9745]",3123304,-43.1865,-20.9745
Doresópolis,MG,86.04,VIVO,"[-45.9045, -20.2905]",3123403,-45.9045,-20.2905
Dormentes,PE,21.8,TIM,"[-40.8015, -8.3925]",2605152,-40.8015,-8.3925
Douradina,MS,58.49,VIVO,"[-54.6075, -22.0365]",5003504,-54.6075,-22.0365
Douradina,PR,70.91,CLARO,"[-53.2935, -23.3865]",4107256,-53.2935,-23.3865
Dourado,SP,67.62,CLARO,"[-48.3165, -22.1175]",3514304,-48.3165,-22.1175
Douradoquara,MG,9.73,VIVO,"[-47.6055, -18.4275]",3123502,-47.6055,-18.4275
Dourados,MS,136.79500000000002,VIVO,"[-54.8325, -22.2345]",5003702,-54.8325,-22.2345
Doutor Camargo,PR,72.95,CLARO,"[-52.2225, -23.5665]",4107306,-52.2225,-23.5665
Doutor Maurício Cardoso,RS,59.18,VIVO,"[-54.3645, -27.4995]",4306734,-54.3645,-27.4995
Doutor Severiano,RN,47.11,VIVO,"[-38.3715, -6.0975]",2403202,-38.3715,-6.0975
Doutor Ulysses,PR,5.14,TIM,"[-49.3875, -24.7005]",4128633,-49.3875,-24.7005
Doutor Ulysses,PR,5.14,TIM,"[-49.4055, -24.6915]",4128633,-49.4055,-24.6915
Doverlândia,GO,36.75,VIVO,"[-52.3035, -16.7175]",5207253,-52.3035,-16.7175
Dracena,SP,62.56,VIVO,"[-51.5475, -21.4965]",3514403,-51.5475,-21.4965
Duartina,SP,79.35,VIVO,"[-49.3245, -22.3335]",3514502,-49.3245,-22.3335
Duas Barras,RJ,59.1,VIVO,"[-42.5205, -22.0455]",3301603,-42.5205,-22.0455
Duas Estradas,PB,10.375,CLARO,"[-35.4195, -6.6915]",2505808,-35.4195,-6.6915
Dueré,TO,45.86,CLARO,"[-49.2705, -11.3445]",1707306,-49.2705,-11.3445
Dumont,SP,70.53,VIVO,"[-47.9745, -21.2355]",3514601,-47.9745,-21.2355
Duque Bacelar,MA,25.265,CLARO,"[-42.9435, -4.1535]",2103901,-42.9435,-4.1535
Duque de Caxias,RJ,234.04000000000002,CLARO,"[-43.2855, -22.7025]",3301702,-43.2855,-22.7025
Durandé,MG,72.01,VIVO,"[-41.8005, -20.1195]",3123528,-41.8005,-20.1195
Echaporã,SP,56.74,VIVO,"[-50.1975, -22.4325]",3514700,-50.1975,-22.4325
Ecoporanga,ES,53.57,VIVO,"[-40.6845, -18.4095]",3202108,-40.6845,-18.4095
Edealina,GO,4.97,TIM,"[-49.6665, -17.4285]",5207352,-49.6665,-17.4285
Edéia,GO,34.31,VIVO,"[-49.9365, -17.3475]",5207402,-49.9365,-17.3475
Eldorado,MS,51.29,CLARO,"[-54.2835, -23.7735]",5003751,-54.2835,-23.7735
Eldorado,SP,63.69,CLARO,"[-48.1095, -24.5205]",3514809,-48.1095,-24.5205
Eldorado do Carajás,PA,61.25,CLARO,"[-49.3695, -6.1065]",1502954,-49.3695,-6.1065
Eldorado do Sul,RS,87.63,VIVO,"[-51.3135, -30.0375]",4306767,-51.3135,-30.0375
Elesbão Veloso,PI,51.41,CLARO,"[-42.1425, -6.2055]",2203503,-42.1425,-6.2055
Elias Fausto,SP,75.69,VIVO,"[-47.2995, -23.0535]",3514908,-47.2995,-23.0535
Eliseu Martins,PI,53.14,CLARO,"[-43.6545, -8.1045]",2203602,-43.6545,-8.1045
